campaign_name,cost,conversions,conversions_value,roas
Nagano Tonic | Clickbank | CPA 450 ORC 600 - 09/10 | CPA 480 12/10 | CPA 520 - 15/10 | CPA 560 - 16/10,278.16,1.0,666.3,2.4
Nagano Tonic (Clickbank) #3,3147.67,6.0,3973.46,1.26
Primal Grow Pro (digistore24),6613.12,17.0,7832.99,1.18
Reticlear (MaxWeb) #2,4766.36,7.0,4110.84,0.86
Nagano Tonic (Clickbank) #2,1280.57,1.0,879.29,0.69
Vigortrix (Buygoods),480.87,0.0,0.0,0.0
SugarMute REVIEW (MaxWeb) - 29/12,57.1,0.0,0.0,0.0
RevaNail (MaxWeb) #2,7.13,0.0,0.0,0.0
Reticlear (MaxWeb) #4,215.63,0.0,0.0,0.0
Reticlear (MaxWeb) #3,36.62,0.0,0.0,0.0
Reticlear (MaxWeb),12.21,0.0,0.0,0.0
Flexorol (MaxWeb),17.5,0.0,0.0,0.0
Finessa (Clickbank),467.85,0.0,0.0,0.0
Echoxen (Digistore24) - REVIEW,281.93,0.0,0.0,0.0
CogniCare Pro (BuyGoods),514.41,0.0,0.0,0.0
Cavityn (MaxWeb),23.21,0.0,0.0,0.0
Revitag (MaxWeb),0.0,0.0,0.0,
RevaNail (MaxWeb),0.0,0.0,0.0,
Primal Grow Pro (digistore24) - MAX CLIQUES #2,0.0,0.0,0.0,
Ignitra (MaxWeb) #2,0.0,0.0,0.0,
Ignitra (MaxWeb),0.0,0.0,0.0,
AquaPeace (BuyGoods) #2,0.0,0.0,0.0,
AquaPeace (BuyGoods),0.0,0.0,0.0,
